Order_ID,Customer_ID,Shipment_ID,Customer_rating,Cost_of_the_Product,Discount_offered,Weight_in_gms,Reached_on_Time_Y_N
139,1035,S500,1,207,48,2399,1
140,1006,S577,1,237,10,3860,1
141,1009,S578,4,264,59,2020,1
142,1009,S579,4,149,51,1645,1
143,1013,S580,5,162,41,1462,1
144,1015,S581,1,205,63,2156,1
145,1004,S582,1,158,51,1540,1
146,1032,S583,2,248,46,3707,1
147,1013,S507,5,191,23,3750,1
148,1033,S584,3,146,24,1844,1
149,1010,S585,3,135,56,1490,1
150,1018,S577,1,149,40,1062,1
151,1012,S586,4,220,7,2551,1
152,1036,S575,3,98,44,1269,1
153,1034,S507,4,97,32,1238,1
154,1031,S587,3,183,53,3932,1
155,1011,S536,3,162,8,1869,1
156,1015,S525,1,114,47,1443,1
157,1036,S588,3,275,41,2491,1
158,1037,S544,2,203,39,3845,1
159,1001,S589,5,205,65,3671,1
160,1011,S590,3,149,63,1946,1
161,1002,S549,2,112,56,1138,1
162,1004,S544,1,207,56,3482,1
163,1015,S591,1,261,58,3427,1
164,1019,S514,2,274,6,3375,1
165,1001,S527,5,141,52,1692,1
166,1033,S518,3,166,17,1498,1
167,1000,S542,2,141,34,1020,1
168,1013,S592,5,152,43,1709,1
169,1000,S591,2,250,53,2478,1
170,1011,S516,3,161,28,1809,1
171,1011,S547,3,185,10,2263,1
172,1026,S593,4,176,52,1096,1
173,1009,S553,4,148,56,1550,1
174,1000,S522,2,270,63,2751,1
175,1011,S543,3,242,51,3935,1
176,1007,S516,4,150,3,1285,1
177,1013,S523,5,192,20,3872,1
178,1013,S528,5,116,54,1314,1
179,1011,S536,3,192,2,3995,1
180,1025,S514,5,255,3,3440,1
181,1038,S521,1,161,18,1294,1
182,1013,S592,5,157,20,1487,1
183,1039,S594,2,164,28,1940,1
184,1040,S518,5,162,16,1052,1
185,1031,S553,3,146,50,1486,1
186,1019,S544,2,209,54,3001,1
187,1012,S537,4,134,55,1386,1
188,1024,S531,1,222,5,3778,1
189,1008,S595,5,139,27,1233,1
190,1005,S550,4,134,42,1415,1
191,1013,S519,5,130,16,1092,1
192,1008,S540,5,133,62,1596,1
193,1005,S555,4,140,7,1411,1
194,1019,S540,2,158,28,1968,1
195,1020,S538,2,270,46,1736,1
196,1008,S550,5,140,30,1030,1
197,1019,S519,2,135,15,1339,1
198,1011,S540,3,136,19,1568,1
199,1011,S596,3,142,38,7640,1
200,1019,S531,2,154,38,7846,1
201,1010,S595,3,139,9,1471,1
202,1011,S550,3,160,43,1251,1
203,1009,S519,4,134,58,1067,1
204,1036,S551,3,161,48,1883,1
205,1013,S555,5,155,23,1602,1
206,1011,S531,3,145,24,7588,1
207,1019,S595,2,157,1,1477,1
208,1019,S550,2,160,48,1691,1
209,1009,S519,4,152,55,1498,1
210,1008,S597,5,148,11,1502,1
211,1004,S555,1,127,15,1522,1
212,1008,S540,5,154,21,1113,1
213,1013,S595,5,127,44,1341,1
214,1008,S598,5,160,31,7401,1
215,1005,S519,4,129,48,1219,1
216,1008,S540,5,158,40,1722,1
217,1010,S521,3,185,3,3131,1
218,1026,S520,4,176,63,1293,1
219,1009,S527,4,148,37,1523,1
220,1013,S590,5,270,60,3885,1
221,1009,S553,4,242,29,2381,1
222,1031,S516,3,150,31,1588,1
223,1019,S541,2,192,4,2061,1
224,1008,S516,5,116,9,1314,1
225,1005,S517,4,192,31,3331,1
226,1026,S524,4,255,38,2771,1
227,1041,S529,3,161,63,1496,1
228,1000,S592,2,157,48,1393,1
229,1042,S530,2,164,14,1375,1
230,1043,S544,3,162,42,1278,1
231,1006,S527,1,146,54,1528,1
232,1005,S518,4,209,60,2240,1
233,1001,S554,5,134,53,1088,1
234,1024,S531,1,222,58,3626,1
235,1004,S555,1,139,39,1582,1
236,1019,S540,2,134,38,1352,1
237,1011,S595,3,130,48,1801,1
238,1019,S550,2,133,5,1268,1
239,1011,S519,3,140,23,1372,1
240,1010,S540,3,158,10,1515,1
241,1025,S591,5,270,65,1818,1
242,1005,S540,4,140,33,1278,1
243,1019,S595,2,135,58,1734,1
244,1009,S550,4,136,43,1958,1
245,1004,S549,1,142,8,6064,1
246,1005,S531,4,154,48,7684,1
247,1011,S555,3,139,3,1788,1
248,1005,S599,4,160,50,1030,1
249,1000,S600,2,134,38,1530,1
250,1044,S601,5,161,54,1511,1
251,1011,S564,3,155,45,1639,1
252,1000,S602,2,145,5,6102,1
253,1018,S603,1,157,58,1930,1
254,1008,S599,5,160,19,1399,1
255,1000,S600,2,152,61,1800,1
256,1000,S604,2,148,35,1349,1
257,1019,S564,2,127,13,1128,1
258,1000,S602,2,129,22,6614,1
259,1011,S603,3,158,13,1245,1
260,1009,S599,4,147,5,1920,1
261,1008,S600,5,159,49,1621,1
262,1011,S605,3,151,23,1930,1
263,1015,S573,1,294,52,1089,1
264,1032,S567,2,226,45,1446,1
265,1036,S606,3,271,9,1813,1
266,1023,S607,2,203,61,1856,1
267,1033,S600,3,264,10,1648,1
268,1018,S563,1,258,36,2211,1
269,1008,S573,5,241,21,3078,1
270,1013,S509,5,208,23,2056,1
271,1023,S510,2,209,12,3054,1
272,1006,S575,1,182,23,2707,1
273,1016,S608,5,148,43,1087,1
274,1014,S609,3,183,52,3199,1
275,1045,S508,5,229,22,2717,1
276,1044,S577,5,115,26,1692,1
277,1000,S500,2,136,65,1962,1
278,1009,S501,4,212,21,3307,1
279,1011,S512,3,171,24,1304,1
280,1024,S587,1,151,60,1925,1
281,1018,S508,1,205,39,3062,1
282,1009,S575,4,147,23,1132,1
283,1011,S506,3,155,29,1712,1
284,1005,S577,4,165,20,1150,1
285,1008,S610,5,230,32,3249,1
286,1034,S609,4,181,13,2309,1
287,1014,S580,3,234,55,3308,1
288,1009,S501,4,149,34,1977,1
289,1001,S574,5,156,44,1561,1
290,1000,S509,2,172,59,1858,1
291,1009,S512,4,270,12,3279,1
292,1018,S528,1,206,23,3807,1
293,1003,S529,3,211,40,3106,1
294,1002,S522,2,136,62,1090,1
295,1006,S515,1,186,52,3981,1
296,1024,S544,1,202,62,3398,1
297,1000,S547,2,183,12,3646,1
298,1007,S533,4,232,36,2861,1
299,1002,S529,2,147,52,1129,1
300,1010,S516,3,136,20,1531,1
301,1011,S611,3,127,43,1446,1
302,1001,S516,5,202,35,3695,1
303,1007,S527,4,241,57,3671,1
304,1031,S528,3,222,55,3833,1
305,1020,S536,2,183,12,2777,1
306,1005,S516,4,249,36,3769,1
307,1017,S530,1,243,59,3838,1
308,1010,S544,3,163,9,1257,1
309,1032,S523,2,165,11,1596,1
310,1008,S524,5,266,53,3089,1
311,1007,S536,4,193,48,3909,1
312,1000,S522,2,154,56,1136,1
313,1010,S526,3,140,51,1046,1
314,1010,S516,3,272,38,3705,1
315,1046,S547,2,143,20,1654,1
316,1000,S533,2,138,30,1805,1
317,1032,S546,2,238,17,3358,1
318,1021,S516,5,273,31,2373,1
319,1024,S526,1,200,27,2551,1
320,1025,S592,5,213,39,2381,1
321,1012,S517,4,224,15,2701,1
322,1013,S528,5,141,12,1672,1
323,1010,S553,3,150,46,1040,1
324,1024,S522,1,192,33,2818,1
325,1015,S537,1,279,24,3440,1
326,1009,S544,4,246,30,3748,1
327,1009,S517,4,173,52,1587,1
328,1026,S528,4,233,59,2358,1
329,1024,S554,1,274,24,2423,1
330,1021,S516,5,243,41,2782,1
331,1005,S526,4,197,56,3427,1
332,1011,S520,3,140,46,1072,1
333,1008,S517,5,215,22,2585,1
334,1009,S518,4,211,8,3710,1
335,1047,S539,2,220,33,2854,1
336,1017,S522,1,194,64,2026,1
337,1004,S537,1,262,58,3599,1
338,1012,S592,4,201,1,3147,1
339,1013,S517,5,261,15,2989,1
340,1022,S533,4,191,60,3425,1
341,1044,S549,5,255,53,3775,1
342,1032,S612,2,169,30,1698,1
343,1001,S521,5,162,64,1918,1
344,1048,S540,5,248,62,2750,1
345,1033,S532,3,197,2,2222,1
346,1018,S535,1,264,6,2882,1
347,1016,S554,5,260,55,2791,1
348,1014,S514,3,186,58,2259,1
349,1021,S591,5,233,44,2551,1
350,1018,S525,1,161,47,1954,1
351,1008,S538,5,188,13,2409,1
352,1016,S524,5,171,22,1695,1
353,1019,S549,2,267,15,2481,1
354,1031,S520,3,255,47,2956,1
355,1000,S543,2,132,56,1303,1
356,1004,S525,1,266,31,3157,1
357,1007,S527,4,198,25,2774,1
358,1014,S598,3,247,62,3127,1
359,1004,S536,1,140,65,1291,1
360,1036,S592,3,131,6,1659,1
361,1019,S537,2,246,49,3236,1
362,1000,S544,2,159,4,1681,1
363,1001,S517,5,203,61,3642,1
364,1033,S593,3,187,29,3141,1
365,1000,S613,2,146,62,1936,1
366,1019,S544,2,234,39,2099,1
367,1005,S530,4,122,15,1354,1
368,1010,S522,3,135,8,1074,1
369,1013,S527,5,103,3,1403,1
370,1008,S518,5,257,19,2173,1
371,1031,S539,3,169,2,1399,1
372,1013,S516,5,159,18,1808,1
373,1013,S591,5,188,38,3031,1
374,1018,S514,1,136,19,1420,1
375,1004,S532,1,227,19,3007,1
376,1016,S590,5,262,53,3275,1
377,1031,S519,3,157,45,1965,1
378,1014,S514,3,238,21,2053,1
379,1013,S543,5,152,43,1282,1
380,1019,S544,2,201,5,2040,1
381,1007,S527,4,148,54,1778,1
382,1020,S535,2,199,59,2885,1
383,1012,S534,4,215,45,3501,1
384,1001,S592,5,175,40,1270,1
385,1031,S614,3,236,23,3123,1
386,1016,S602,5,182,57,2896,1
387,1018,S615,1,251,42,3698,1
388,1000,S616,2,173,7,1855,1
389,1011,S558,3,225,62,2587,1
390,1020,S617,2,167,20,1705,1
391,1018,S566,1,259,20,2154,1
392,1004,S618,1,178,63,1573,1
393,1026,S572,4,178,13,1614,1
394,1012,S616,4,169,20,1765,1
395,1032,S573,2,272,33,2321,1
396,1009,S617,4,183,29,3251,1
397,1005,S619,4,205,10,2728,1
398,1015,S599,1,123,53,1036,1
399,1010,S568,3,152,58,1453,1
400,1006,S620,1,220,40,3773,1
401,1010,S558,3,134,51,1965,1
402,1032,S561,2,217,19,2992,1
403,1000,S619,2,265,49,2791,1
404,1047,S618,2,249,36,3836,1
405,1033,S621,3,213,50,2003,1
406,1000,S605,2,124,56,1494,1
407,1024,S622,1,180,23,1193,1
408,1013,S509,5,193,65,2267,1
409,1019,S510,2,192,43,3339,1
410,1013,S581,5,166,3,1832,1
411,1019,S576,2,264,5,3861,1
412,1007,S503,4,200,14,3528,1
413,1003,S623,3,142,12,1396,1
414,1024,S501,1,215,32,3066,1
415,1024,S624,1,218,15,2745,1
416,1000,S625,2,115,27,1814,1
417,1010,S512,3,159,33,1330,1
418,1013,S579,5,133,63,1218,1
419,1019,S580,2,178,48,1517,1
420,1037,S501,2,134,43,1714,1
421,1049,S510,1,184,58,2544,1
422,1032,S509,2,251,24,2405,1
423,1019,S507,2,141,7,1933,1
424,1007,S584,4,229,45,3776,1
425,1017,S622,1,203,34,3813,1
426,1011,S509,3,158,57,1911,1
427,1009,S510,4,167,52,1755,1
428,1026,S577,4,197,40,3303,1
429,1000,S595,2,140,19,1806,1
430,1024,S524,1,205,27,3569,1
431,1008,S534,5,208,45,2018,1
432,1019,S592,2,96,22,1294,1
433,1005,S588,4,205,44,2064,1
434,1000,S516,2,215,48,2953,1
435,1004,S538,1,216,43,2643,1
436,1024,S626,1,112,22,1846,1
437,1005,S534,4,222,20,3632,1
438,1000,S514,2,186,15,2153,1
439,1013,S526,5,241,48,2841,1
440,1011,S522,3,172,58,1269,1
441,1001,S594,5,251,23,2426,1
442,1010,S627,3,190,45,2628,1
443,1014,S529,3,186,48,2805,1
444,1007,S516,4,207,35,2596,1
445,1011,S543,3,135,19,1366,1
446,1012,S516,4,189,18,2955,1
447,1050,S547,4,173,51,1691,1
448,1009,S518,4,194,3,2169,1
449,1018,S553,1,183,19,3018,1
450,1014,S592,3,140,22,1248,1
451,1005,S521,4,244,55,2782,1
452,1003,S540,3,189,34,3355,1
453,1032,S517,2,157,53,1390,1
454,1051,S528,1,275,23,2726,1
455,1008,S539,5,133,53,1467,1
456,1018,S516,1,149,54,1178,1
457,1031,S530,3,254,17,3153,1
458,1052,S522,4,145,15,1429,1
459,1023,S527,2,179,52,1991,1
460,1019,S535,2,168,26,1526,1
461,1004,S529,1,202,18,3940,1
462,1053,S522,4,220,43,2620,1
463,1054,S543,4,244,1,2703,1
464,1055,S516,2,186,40,3111,1
465,1056,S545,2,263,24,3139,1
466,1020,S590,2,294,15,1318,1
467,1016,S536,5,226,2,1043,1
468,1050,S516,4,173,2,1175,1
469,1008,S526,5,194,10,2277,1
470,1008,S522,5,183,2,3459,1
471,1024,S538,1,140,61,1770,1
472,1010,S528,3,244,8,3318,1
473,1002,S519,2,189,9,3413,1
474,1006,S544,1,157,39,1525,1
475,1057,S521,3,275,10,2093,1
476,1013,S592,5,133,59,1092,1
477,1019,S547,2,149,26,1863,1
478,1012,S626,4,254,41,3973,1
479,1052,S553,4,145,24,1594,1
480,1027,S522,5,179,56,1113,1
481,1005,S611,4,168,13,1317,1
482,1008,S516,5,202,46,3181,1
483,1041,S527,3,220,25,2141,1
484,1058,S590,2,244,50,3562,1
485,1043,S529,3,186,30,2062,1
486,1059,S514,5,263,9,2236,1
487,1015,S543,1,294,25,1498,1
488,1004,S592,1,139,56,1811,1
489,1013,S628,5,192,46,1550,1
490,1010,S590,3,235,5,3065,1
491,1004,S519,1,176,15,1996,1
492,1005,S525,4,224,34,2627,1
493,1005,S526,4,128,51,1524,1
494,1060,S525,4,226,47,2240,1
495,1049,S545,1,160,16,1526,1
496,1035,S590,1,197,45,2224,1
497,1000,S539,2,216,12,2273,1
498,1007,S592,4,199,9,3075,1
499,1001,S611,5,271,27,3957,1
500,1004,S525,1,201,47,2657,1
501,1007,S527,4,212,33,2021,1
502,1019,S590,2,177,10,1641,1
503,1026,S536,4,191,43,2903,1
504,1019,S522,2,174,30,1986,1
505,1014,S611,3,162,14,1045,1
506,1006,S522,1,219,39,2696,1
507,1005,S547,4,155,35,1421,1
508,1011,S524,3,230,3,2923,1
509,1016,S529,5,192,36,2497,1
510,1019,S525,2,235,14,2984,1
511,1019,S543,2,200,46,3642,1
512,1019,S514,2,172,65,1667,1
513,1026,S532,4,160,6,1603,1
514,1036,S535,3,250,12,2722,1
515,1019,S539,2,174,9,1682,1
516,1000,S612,2,204,54,3608,1
517,1008,S526,5,274,51,3476,1
518,1016,S514,5,262,62,3744,1
519,1013,S547,5,138,23,1785,1
520,1004,S518,1,215,2,3873,1
521,1006,S553,1,145,34,1773,1
522,1001,S618,5,149,56,1141,1
523,1001,S629,5,212,38,2359,1
524,1004,S567,1,155,47,1193,1
525,1019,S630,2,154,40,1238,1
526,1010,S569,3,249,51,2173,1
527,1024,S570,1,206,2,3490,1
528,1008,S618,5,235,22,2015,1
529,1008,S631,5,261,8,3257,1
530,1015,S632,1,243,22,3537,1
531,1032,S633,2,237,26,3103,1
532,1012,S605,4,179,19,1900,1
533,1011,S558,3,192,43,3498,1
534,1004,S567,1,141,39,1838,1
535,1000,S619,2,245,61,2188,1
536,1026,S618,4,177,32,1774,1
537,1033,S634,3,154,17,1897,1
538,1005,S563,4,228,12,3359,1
539,1030,S635,3,207,24,3702,1
540,1026,S618,4,266,33,2701,1
541,1011,S636,3,172,42,1707,1
542,1011,S617,3,142,35,1512,1
543,1008,S568,5,218,40,3200,1
544,1031,S587,3,231,46,2962,1
545,1000,S622,2,180,47,1434,1
546,1018,S625,1,168,46,1886,1
547,1021,S637,5,147,42,1642,1
548,1060,S577,4,245,6,3592,1
549,1009,S638,4,182,47,3792,1
550,1005,S503,4,176,8,1567,1
551,1033,S639,3,197,51,2917,1
552,1013,S505,5,233,52,3519,1
553,1007,S506,4,156,8,1145,1
554,1033,S581,3,257,52,2073,1
555,1005,S610,4,250,11,3373,1
556,1060,S579,4,189,3,3301,1
557,1031,S640,3,255,7,3311,1
558,1031,S581,3,198,28,3514,1
559,1019,S586,2,164,15,1489,1
560,1019,S575,2,271,32,3785,1
561,1006,S576,1,185,34,3299,1
562,1048,S641,5,157,17,1764,1
563,1032,S508,2,137,17,1673,1
564,1010,S625,3,229,14,2164,1
565,1014,S510,3,234,39,2449,1
566,1031,S592,3,216,52,3578,1
567,1015,S527,1,163,20,1940,1
568,1019,S535,2,268,19,2526,1
569,1036,S536,3,205,35,2988,1
570,1016,S516,5,265,18,2969,1
571,1019,S596,2,236,3,3416,1
572,1018,S592,1,132,63,1901,1
573,1007,S517,4,234,46,3108,1
574,1030,S533,3,108,22,1745,1
575,1032,S539,2,276,54,3706,1
576,1002,S592,2,179,1,1063,1
577,1018,S521,1,230,40,2225,1
578,1000,S544,2,210,43,2096,1
579,1000,S527,2,173,15,1992,1
580,1008,S598,5,201,29,3894,1
581,1031,S553,3,214,21,3342,1
582,1037,S516,2,216,22,3024,1
583,1013,S596,5,144,61,1313,1
584,1008,S514,5,182,27,3039,1
585,1014,S517,3,163,48,1369,1
586,1011,S518,3,234,8,2334,1
587,1000,S642,2,158,59,1307,1
588,1001,S544,5,194,4,3496,1
589,1029,S526,1,201,3,2497,1
590,1037,S544,2,178,59,1933,1
591,1035,S547,1,214,51,2669,1
592,1031,S518,3,281,55,3047,1
593,1000,S536,2,260,2,2176,1
594,1037,S544,2,200,46,3174,1
595,1014,S515,3,209,49,2581,1
596,1018,S522,1,185,61,3280,1
597,1011,S538,3,230,62,2236,1
598,1005,S518,4,134,31,1540,1
599,1016,S539,5,270,34,2821,1
600,1004,S516,1,140,1,1464,1
601,1036,S643,3,133,32,1367,1
602,1009,S544,4,145,44,1218,1
603,1010,S547,3,206,58,2135,1
604,1006,S590,1,162,52,1125,1
605,1014,S539,3,187,58,3665,1
606,1050,S592,4,166,54,1203,1
607,1008,S591,5,178,48,1819,1
608,1006,S612,1,167,34,1967,1
609,1009,S523,4,224,60,3145,1
610,1009,S528,4,158,11,1224,1
611,1007,S536,4,134,43,1198,1
612,1037,S516,2,147,20,1387,1
613,1010,S591,3,187,61,2207,1
614,1016,S516,5,247,18,2404,1
615,1034,S589,4,182,20,2212,1
616,1015,S528,1,177,33,1049,1
617,1016,S542,5,143,18,1066,1
618,1014,S514,3,245,8,3231,1
619,1017,S521,1,133,64,1834,1
620,1001,S522,5,224,13,3891,1
621,1016,S595,5,265,50,3859,1
622,1024,S533,1,138,28,1528,1
623,1009,S553,4,253,6,3788,1
624,1018,S516,1,165,51,1293,1
625,1011,S591,3,265,65,3578,1
626,1000,S612,2,238,54,3142,1
627,1000,S532,2,236,51,3402,1
628,1023,S593,2,190,38,3022,1
629,1015,S644,1,104,23,1442,1
630,1016,S592,5,245,19,2616,1
631,1004,S526,1,155,27,1022,1
632,1019,S522,2,233,63,2143,1
633,1033,S538,3,171,55,1539,1
634,1031,S550,3,164,56,1491,1
635,1018,S553,1,141,6,1361,1
636,1014,S525,3,266,61,2118,1
637,1012,S543,4,192,56,3765,1
638,1030,S544,3,229,61,2298,1
639,1002,S645,2,269,38,3171,1
640,1034,S590,4,247,59,2939,1
641,1012,S539,4,157,2,1087,1
642,1000,S544,2,148,64,1280,1
643,1024,S591,1,240,14,2437,1
644,1003,S516,3,197,58,3617,1
645,1060,S548,4,121,23,1734,1
646,1019,S593,2,124,60,1107,1
647,1000,S529,2,153,53,1185,1
648,1002,S551,2,105,1,1622,1
649,1010,S521,3,202,2,3962,1
650,1012,S525,4,162,54,1635,1
651,1009,S517,4,164,13,1158,1
652,1002,S518,2,231,48,3370,1
653,1020,S554,2,209,12,2933,1
654,1024,S612,1,157,19,1898,1
655,1001,S591,5,249,4,2725,1
656,1014,S540,3,264,63,2896,1
657,1017,S527,1,111,61,1844,1
658,1004,S518,1,242,10,3606,1
659,1009,S558,4,169,23,1058,1
660,1031,S565,3,138,13,1056,1
661,1018,S646,1,158,9,1483,1
662,1003,S565,3,146,5,1718,1
663,1050,S572,4,218,36,2995,1
664,1037,S569,2,178,22,1247,1
665,1008,S558,5,197,34,3784,1
666,1031,S567,3,243,17,3230,1
667,1002,S606,2,254,37,2608,1
668,1017,S559,1,237,33,2782,1
669,1004,S630,1,179,62,1945,1
670,1019,S569,2,189,38,2108,1
671,1010,S647,3,244,1,3982,1
672,1031,S567,3,266,46,3594,1
673,1009,S606,4,263,10,2538,1
674,1032,S567,2,247,39,3189,1
675,1008,S568,5,202,6,2616,1
676,1005,S563,4,227,1,2761,1
677,1016,S558,5,189,15,2457,1
678,1012,S648,4,160,31,1689,1
679,1010,S636,3,117,56,1618,1
680,1024,S561,1,202,52,2312,1
681,1011,S608,3,201,54,2487,1
682,1012,S503,4,273,39,2651,1
683,1007,S623,4,143,58,1038,1
684,1025,S511,5,137,29,1262,1
685,1013,S637,5,236,34,3455,1
686,1032,S501,2,241,17,3844,1
687,1037,S512,2,187,6,3625,1
688,1001,S649,5,273,63,3516,1
689,1019,S580,2,170,15,1314,1
690,1008,S625,5,138,37,1266,1
691,1007,S574,4,150,60,1034,1
692,1008,S650,5,140,42,1384,1
693,1024,S512,1,250,17,3544,1
694,1041,S503,3,207,19,2182,1
695,1009,S622,4,214,36,2684,1
696,1018,S501,1,179,63,1215,1
697,1015,S651,1,149,20,1110,1
698,1016,S625,5,151,16,1422,1
699,1010,S608,3,264,23,2376,1
700,1013,S652,5,113,31,1037,1
701,1004,S653,1,281,36,2536,1
702,1061,S509,2,197,43,3730,1
703,1052,S543,4,265,35,3299,1
704,1000,S592,2,259,47,3764,1
705,1062,S532,1,200,18,3806,1
706,1007,S654,4,111,60,1787,1
707,1013,S536,5,223,53,3670,1
708,1010,S522,3,241,5,2713,1
709,1004,S591,1,139,25,1152,1
710,1018,S655,1,192,38,1372,1
711,1009,S517,4,117,23,1527,1
712,1006,S626,1,202,21,3120,1
713,1000,S529,2,201,39,2066,1
714,1014,S544,3,273,16,2466,1
715,1014,S521,3,143,64,1910,1
716,1017,S520,1,137,15,1391,1
717,1011,S589,3,236,47,3519,1
718,1006,S533,1,241,39,2935,1
719,1001,S539,5,187,44,3218,1
720,1031,S520,3,273,43,3462,1
721,1011,S611,3,170,12,1018,1
722,1005,S522,4,138,54,1648,1
723,1031,S532,3,150,2,1682,1
724,1005,S627,4,140,56,1332,1
725,1014,S539,3,250,46,2878,1
726,1063,S544,4,207,46,2670,1
727,1000,S591,2,214,18,2574,1
728,1010,S592,3,179,45,1903,1
729,1002,S545,2,149,48,1068,1
